,ingresos,jefe_hogar,sexo,edad,estado_civil,escolaridad,time_traba,tipo_traba,horas_traba,sub_alimenta,sub_transpor,sub_fami,sub_edu,horastraba
0,0,1,0,28,0,13,42,1,48,2,1,1,2,48
1,0,0,0,53,0,3,42,1,48,2,1,1,2,48
2,64,1,0,51,0,11,96,1,48,2,1,2,2,48
3,64,0,0,26,0,14,96,1,48,2,1,2,2,48
4,64,0,0,21,0,11,96,1,48,2,1,2,2,48
5,-18,1,0,29,1,13,1,1,48,2,1,2,2,48
6,64,1,0,29,1,13,4,1,48,2,1,1,2,48
7,-18,0,1,33,1,5,1,1,48,2,1,2,2,48
8,64,0,1,33,1,5,4,1,48,2,1,1,2,48
9,-80,0,1,35,1,3,3,1,48,2,2,2,2,48
10,-80,0,1,25,0,11,3,1,48,2,2,2,2,48
11,-80,0,0,29,0,8,3,1,48,2,2,2,2,48
12,-128,1,0,25,1,11,4,4,10,0,0,0,0,10
13,48,1,0,25,1,11,2,1,18,2,2,2,2,18
14,-128,0,1,25,1,9,4,4,10,0,0,0,0,10
15,48,0,1,25,1,9,2,1,18,2,2,2,2,18
16,-48,1,1,30,1,10,-16,4,50,0,0,0,0,50
17,-48,0,0,46,1,11,-16,4,50,0,0,0,0,50
18,64,1,0,31,0,11,36,1,48,2,1,1,2,48
19,96,1,1,28,1,11,84,1,48,2,1,1,2,48
20,96,0,0,26,1,11,84,1,48,2,1,1,2,48
21,-64,1,1,29,1,14,24,4,36,0,0,0,0,36
22,0,1,1,29,1,14,12,4,60,0,0,0,0,60
23,-64,0,0,30,1,16,24,4,36,0,0,0,0,36
24,0,0,0,30,1,16,12,4,60,0,0,0,0,60
25,-64,0,0,52,1,3,24,4,36,0,0,0,0,36
26,0,0,0,52,1,3,12,4,60,0,0,0,0,60
27,-18,1,1,24,1,9,36,1,48,2,1,2,2,48
28,-18,1,1,24,1,9,48,1,48,2,1,1,2,48
29,-18,0,0,32,1,13,36,1,48,2,1,2,2,48
30,-18,0,0,32,1,13,48,1,48,2,1,1,2,48
31,-96,1,0,26,0,11,60,4,48,0,0,0,0,48
32,-96,1,1,84,1,0,72,4,6,0,0,0,0,6
33,-128,1,1,84,1,0,36,1,48,2,1,1,2,48
34,-96,0,0,76,1,2,72,4,6,0,0,0,0,6
35,-128,0,0,76,1,2,36,1,48,2,1,1,2,48
36,-96,0,1,44,0,3,72,4,6,0,0,0,0,6
37,-128,0,1,44,0,3,36,1,48,2,1,1,2,48
38,-96,0,1,23,0,11,72,4,6,0,0,0,0,6
39,-128,0,1,23,0,11,36,1,48,2,1,1,2,48
40,-96,1,0,40,0,11,50,4,48,0,0,0,0,48
41,-96,0,0,19,0,11,50,4,48,0,0,0,0,48
42,64,1,0,44,0,5,16,3,48,2,1,2,2,48
43,-16,1,0,44,0,5,36,1,48,2,1,1,2,48
44,64,0,1,27,1,11,16,3,48,2,1,2,2,48
45,-16,0,1,27,1,11,36,1,48,2,1,1,2,48
46,64,0,0,24,1,13,16,3,48,2,1,2,2,48
47,-16,0,0,24,1,13,36,1,48,2,1,1,2,48
48,64,1,0,46,0,0,24,1,48,2,1,2,2,48
49,64,0,1,21,0,13,24,1,48,2,1,2,2,48
50,-18,1,1,33,1,9,28,1,48,2,1,1,2,48
51,-128,1,1,33,1,9,0,4,16,0,0,0,0,16
52,-18,0,0,39,1,10,28,1,48,2,1,1,2,48
53,-128,0,0,39,1,10,0,4,16,0,0,0,0,16
54,-64,1,1,36,0,14,84,1,48,2,1,1,2,48
55,-18,1,1,90,0,5,-88,1,45,2,1,2,2,45
56,-82,1,1,90,0,5,-88,3,56,2,2,2,2,56
57,-18,0,0,68,0,3,-88,1,45,2,1,2,2,45
58,-82,0,0,68,0,3,-88,3,56,2,2,2,2,56
59,-18,0,0,58,0,0,-88,1,45,2,1,2,2,45
60,-82,0,0,58,0,0,-88,3,56,2,2,2,2,56
61,-18,0,0,47,0,5,-88,1,45,2,1,2,2,45
62,-82,0,0,47,0,5,-88,3,56,2,2,2,2,56
63,80,1,0,45,0,11,10,3,48,2,1,1,2,48
64,80,0,0,19,0,11,10,3,48,2,1,1,2,48
65,-32,1,1,29,1,12,72,1,48,2,1,1,2,48
66,64,1,1,29,1,12,-16,4,50,0,0,0,0,50
67,-32,0,0,31,1,11,72,1,48,2,1,1,2,48
68,64,0,0,31,1,11,-16,4,50,0,0,0,0,50
69,-32,0,1,66,1,5,72,1,48,2,1,1,2,48
70,64,0,1,66,1,5,-16,4,50,0,0,0,0,50
71,-32,0,0,47,1,5,72,1,48,2,1,1,2,48
72,64,0,0,47,1,5,-16,4,50,0,0,0,0,50
